,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,wine_style
2852,7.3,0.25,0.41,nan,0.037,52.0,165.0,0.9911,3.29,0.39,12.2,7,strong
2853,7.0,0.16,0.73,1.0,0.138,58.0,150.0,0.9936,3.08,0.3,9.2,5,
2854,6.4,0.22,0.34,1.8,0.057,29.0,104.0,0.9959, 3.81 ,0.57,10.3,6,medium
2855,7.3,0.18,0.65,1.4,0.046,28.0,157.0,0.9946,3.33,0.62,9.4,6,light
2856,6.4,0.17,0.27,6.7,0.036,88.0,223.0,0.9948,3.28,0.35,10.2,6,medium
2857,6.9,0.29,0.16,6.8,0.034,65.0,212.0,0.9955, 3.08 ,0.39,9.0,6,light
2858,6.2,0.21,0.38,6.8,0.036,64.0,245.0,0.9951,3.06,0.36,9.3,6,light
2859,6.4,0.23,0.3,7.1,0.037,63.0,236.0,995.1999999999999,3.06,0.34,9.2,6,light
2860,7.3,0.19,0.68,1.5,0.05,31.0,156.0,0.9946, 3.32 ,0.64,9.4,6,light
2861,7.3,0.18,0.65,1.4,0.046,28.0,157.0,0.9946,3.33,0.62,9.4,6,
2862,9.6,0.29,0.46,nan,0.039,77.5,223.0,0.9944,2.92,0.46,9.5,6,light
2863,7.2,0.14,0.35,1.2,0.036,15.0,73.0,0.9938,3.46,0.39,9.9,5, medium 
2864,6.9,0.31,0.34,7.4,0.059,36.0,870.0,0.9963,3.46,2.48,27.75,7,strong
2865,7.5,0.28,0.34,4.2,0.028,36.0,116.0,0.991,2.99,0.41,12.3, 8 ,strong
2866,8.0,0.22,0.42,14.6,0.044,45.0,815.0,1.0003,3.21,2.76,21.5,7,strong
2867,7.6,0.31,0.29,10.5,0.04,21.0,145.0,0.9966,3.04,0.35,9.4,5,light
2868,8.4,0.35,0.56,13.8,0.048,55.0,190.0,0.9993,3.07,0.58,9.4,6,light
2869,,0.22,0.42,14.6,0.044,45.0,163.0,1.0003,3.21,0.69,8.6,7,light
2870,8.1,0.5,0.47,1.1,0.037,23.0,126.0,0.9938,3.21,0.42,10.9,5,medium
2871,7.0,0.39,0.31,5.3,0.169,32.0,162.0,0.9965,3.2,0.48,9.4,5, light 
2872,,0.5,0.47,1.1,0.037,23.0,126.0,0.9938,3.21,0.42,10.9, 5 ,medium
2873,8.4,0.35,0.56,13.8,,55.0,190.0,0.9993,3.07,0.58,9.4,6,light
2874,6.2,0.22,0.27,1.5,0.064,20.0,132.0,0.9938, 3.22 ,0.46,9.2,6,light
2875,8.0,0.22,0.42,14.6,0.044,45.0,163.0,1.0003,3.21,0.69,8.6,7,light
2876,7.6,0.31,0.29,10.5,0.04,21.0,145.0,0.9966,nan,0.35,9.4,5,light
2877,7.0,0.24,0.36,4.9,0.083,10.0,133.0,0.9942,3.33,0.37,10.8,6,medium
2878,6.6,0.27,0.3,1.9,0.025,14.0,153.0,0.9928, 3.29 ,0.62,10.5,6, medium 
2879,,,0.41,1.7,0.026,29.0,140.0,0.991, 3.02 ,0.78,12.5,6,STRONG
2880,7.7,0.27,0.34,1.8,0.028,26.0,168.0,0.9911,2.99,0.48,12.1,7,strong
2881,7.4,0.31,0.74,10.7,0.039,51.0,147.0,0.9977,3.02,0.43,8.7,5,light
2882,8.0,,0.36,,0.026,50.0,755.0,0.9927,3.07,1.0,31.75,8,strong
2883,7.7,0.27,0.34,1.8,0.028,26.0,168.0,0.9911,2.99,0.48,12.1,7, strong 
2884,7.8,,0.41,1.7,0.026,29.0,140.0,0.991,3.02,0.78,12.5,6,
2885,6.6,0.16,0.29,1.8,0.05,40.0,147.0,0.9912,3.06,0.44,11.4,7,medium
2886,,,0.4,1.6,,35.0,110.0,0.9907,3.02,0.6,12.9,7,strong
2887,7.2,,0.33,1.4,0.029,29.0,109.0,0.9902,3.15,0.51,12.8,7,strong
2888,6.6,0.16,0.3,1.6,0.034,15.0,78.0,0.992,3.38,0.44,11.2,6,medium
2889,8.4,0.16,0.33,1.5,0.033,16.0,98.0,0.994, 3.14 ,0.42,9.7,6,medium
2890,7.5,0.23,0.32,9.2,0.038,54.0,191.0,0.9966,3.04,0.56,9.7,6,MEDIUM
2891,6.2,0.17,0.3,1.1,0.037,14.0,79.0,0.993,3.5,0.54,10.3,6,MEDIUM
2892,6.9,0.39,0.22,nan,0.03,10.0,102.0,0.993,3.0,0.87,11.6,4,STRONG
2893,6.9,0.41,0.22,4.2,0.031,10.0,510.0,0.993,3.0,3.44,29.0,4,strong
2894,7.5,0.23,0.32,9.2,0.038,54.0,191.0,0.9966,nan,0.56,9.7,6,medium
2895,7.5,0.38,0.33,,0.045,30.0,131.0,994.1999999999999,3.32,0.44,10.9,6,medium
2896,7.3,,0.38,6.8,0.045,29.0,610.0,0.9925,3.19,1.48,31.5,7,strong
2897,7.3,,0.39,5.2,0.04,45.0,163.0,0.9925,3.3,0.47,12.4, 6 ,STRONG
2898,7.8,0.23,0.28,4.75,0.042,45.0,166.0,0.9928,2.96,0.4,11.5, 5 ,medium
2899,9.0,0.245,0.38,5.9,0.045,52.0,159.0,0.995, 2.93 ,0.35,10.2,6,medium
2900,6.9,0.2,0.4,7.7,0.032,51.0,176.0,0.9939,3.22,0.27,11.4, 5 ,medium
2901,7.4,0.19,0.42,,0.067,39.0,212.0,0.9958, 3.3 ,0.33,9.6,6,medium
2902,8.2,0.2,0.36,8.1,0.035,60.0,163.0,0.9952,3.05,0.3,10.3,6,medium
2903,8.0,0.59,0.71,17.35,0.038,61.0,228.0,1.0,2.95,0.75,9.3,5,light
2904,7.9,0.14,0.45,1.8,,17.0,114.0,0.9948,3.33,0.49,10.7,7,MEDIUM
2905,6.8,,0.4,1.8,0.047,34.0,105.0,0.99, 3.13 ,0.49,12.8,8,STRONG
2906,9.7,0.14,0.59,1.5,0.049,23.0,142.0,0.9958,2.98,0.62,9.5,5,light
2907,,0.15,0.68,1.6,0.046,22.0,130.0,0.9948, 3.02 ,0.45,10.4,6,medium
2908,9.4,0.17,0.55,1.6,0.049,14.0,94.0,0.9949, 3.02 ,0.61,10.3,6,medium
2909,5.2,0.365,0.08,13.5,0.041,37.0,142.0,0.997, 3.46 ,0.39,9.9,6,medium
2910,6.3,0.23,0.22,3.75,0.039,37.0,116.0,0.9927,3.23,0.5,10.7,6,medium
2911,9.6,0.25,0.54,1.3,,16.0,160.0,0.9938, 2.94 ,0.43,10.5,5,medium
2912,9.2,0.32,0.42,1.3,0.046,14.0,186.0,0.9949,3.08,0.48,9.6,5,medium
2913,6.4,0.31,0.4,6.2,0.04,46.0,169.0,995.3,3.15,0.46,9.3,6, LIGHT 
2914,8.1,0.2,0.36,9.7,0.044,63.0,162.0,0.997,3.1,0.46,10.0, 6 , MEDIUM 
2915,7.9,0.255,0.26,2.0,0.026,40.0,190.0,0.9932,3.04,0.39,11.2,6,medium
2916,7.0,0.15,0.34,1.4,0.039,21.0,177.0,0.9927,3.32,0.62,10.8,5,medium
2917,6.4,0.15,0.31,1.1,0.044,25.0,96.0,0.9932,3.54,0.51,10.3,6,medium
2918,,0.25,0.53,6.6,0.038,59.0,234.0,0.9955,3.03,0.42,8.8,5,light
2919,7.6,,0.42,1.5,0.044,6.0,114.0,0.9914,3.04,0.74,12.8,6,STRONG
2920,7.3,,0.37,4.6,0.028,17.0,114.0,0.991,3.23,0.43,13.2,6,strong
2921,,0.31,0.3,0.9,,28.0,152.0,0.992,3.54,0.56,10.1,6,medium
2922,6.2,0.2,0.26,1.7,0.093,40.0,161.0,0.9924,3.44,0.66,11.0,5,medium
2923,6.9,0.16,0.35,nan,0.043,21.0,182.0,0.9927,3.25,0.62,10.8,6,medium
2924,,,0.48,nan,0.04,28.0,114.0,0.9911,3.2,0.52,12.8,7,strong
2925,6.5,0.22,0.72,6.8,0.042,33.0,168.0,0.9958,3.12,0.36,9.2,6,light
2926,6.8,0.26,0.33,1.5,,44.0,167.0,0.9928,3.12,0.44,10.5,6,MEDIUM
2927,5.2,0.37,0.33,1.2,0.028,13.0,81.0,0.9902,nan,0.38,11.7,6,STRONG
2928,8.4,0.19,0.43,2.1,0.052,20.0,104.0,0.994,2.85,0.46,9.5,5,light
2929,8.3,0.21,0.41,2.2,0.05,24.0,108.0,?,2.85,0.45,9.5,5, light 
2930,6.8,0.15,0.32,8.8,0.058,24.0,110.0,0.9972,3.4,0.4,8.8,6,light
2931,7.9,0.16,0.64,17.0,0.05,69.0,210.0,1.0004,3.15,0.51,9.3,7,light
2932,7.8,,0.39,1.8,0.034,62.0,180.0,0.991,3.09,0.75,12.6, 8 ,STRONG
2933,9.0,,0.5,1.2,0.048,26.0,107.0,0.9918,3.21,0.34,12.4,6,strong
2934,5.7,0.21,0.24,2.3,0.047,60.0,189.0,0.995,3.65,0.72,10.1,6,medium
2935,7.8,0.29,0.36,7.0,0.042,38.0,161.0,?,3.26,0.37,11.2,8,medium
2936,6.7,0.18,0.3,6.4,0.048,40.0,251.0,0.9956,3.29,0.52,10.0,5, medium 
2937,6.7,0.18,0.3,6.4,0.048,40.0,251.0,0.9956,3.29,0.52,10.0,5,medium
2938,8.4,0.58,0.27,12.15,,37.0,116.0,0.9959, 2.99 ,0.39,10.8,6,medium
2939,,0.16,0.32,0.8,0.04,50.0,121.0,0.9922,3.27,0.33,10.0,6,MEDIUM
2940,7.6,0.54,0.23,2.0,0.029,13.0,151.0,0.9931, 3.04 ,0.33,10.4, 5 ,
2941,8.4,0.58,0.27,12.15,,37.0,116.0,0.9959, 2.99 ,0.39,10.8,6,MEDIUM
2942,6.6,0.25,0.31,12.4,0.059,52.0,181.0,0.9984,3.51,0.47,9.8,6,medium
2943,7.3,0.23,0.37,1.9,0.041,51.0,165.0,0.9908,3.26,0.4,12.2,8,strong
2944,7.3,,0.37,1.1,0.043,36.0,113.0,0.991,3.39,0.48,12.7,8,strong
2945,7.0,0.46,0.39,6.2,0.039,46.0,163.0,992.8000000000001,3.21,0.35,12.2,7,strong
2946,8.2,0.35,0.4,6.3,0.039,35.0,162.0,0.9936,3.15,0.34,11.9, 7 ,strong
2947,7.8,0.29,0.36,7.0,0.042,38.0,161.0,0.9941,nan,0.37,11.2,8,MEDIUM
2948,9.2,0.35,0.39,0.9,0.042,15.0,61.0,0.9924, 2.96 ,0.28,10.4, 4 , MEDIUM 
2949,8.0,,0.39,3.9,0.034,22.0,122.0,991.7, nan ,0.67,12.8,7,strong
2950,6.5,,0.33,3.9,0.027,40.0,650.0,0.9906,3.28,1.56,31.75,7,STRONG
2951,5.7,0.21,0.24,2.3,0.047,60.0,189.0,0.995,3.65,0.72,10.1,6,medium
2952,6.7,0.18,0.3,6.4,,40.0,251.0,0.9956,3.29,0.52,10.0,5,medium
2953,7.8,0.13,0.3,1.8,0.04,43.0,895.0,0.9955,3.43,1.64,22.5,5,strong
2954,7.6,0.19,0.41,1.1,0.04,38.0,143.0,0.9907, 2.92 ,0.42,11.4,5,medium
2955,7.3,0.22,0.41,15.4,0.05,55.0,191.0,1.0,3.32,0.59,8.9, 6 ,light
2956,6.3,0.29,0.4,6.5,0.039,43.0,167.0,0.9953,3.15,0.44,9.3,6,
2957,,0.35,0.32,2.4,0.048,35.0,103.0,0.9911,3.28,0.46,12.0,8,STRONG
2958,6.5,0.19,0.32,1.4,0.04,31.0,132.0,0.9922,3.36,0.54,10.8,7,medium
2959,6.2,0.12,0.26,5.7,0.044,56.0,158.0,0.9951,3.52,0.37,10.5,6,medium
2960,6.0,0.13,0.28,5.7,0.038,56.0,189.5,0.9948,3.59,0.43,10.6,7, medium 
2961,6.4,0.25,0.33,1.4,0.04,42.0,115.0,0.9906,nan,0.48,11.3,7, medium 
2962,6.9,0.32,0.16,1.4,0.051,15.0,96.0,0.994,3.22,0.38,9.5,4,light
2963,7.6,0.19,0.41,1.1,0.04,38.0,143.0,0.9907,2.92,0.42,11.4,5,medium
2964,6.7,0.13,0.28,nan,0.046,35.0,140.0,0.9927,3.33,0.33,10.1,7, MEDIUM 
2965,7.0,0.14,0.41,0.9,0.037,22.0,95.0,0.9914, 3.25 ,0.43,10.9,6,medium
2966,7.6,0.27,0.24,3.8,0.058,19.0,115.0,0.9958,3.15,0.45,8.9,5,LIGHT
2967,7.3,0.22,0.41,15.4,0.05,55.0,191.0,1.0,nan,0.59,8.9,6,light
2968,7.4,0.64,0.47,14.15,0.168,42.0,185.0,0.9984,2.9,0.49,9.3,5,light
2969,7.6,0.28,0.39,1.9,0.052,23.0,116.0,0.9941, 3.25 ,0.4,10.4,6,medium
2970,8.3,0.26,0.41,9.2,0.042,41.0,162.0,0.9944,3.1,0.38,12.0,7,strong
2971,10.7,0.22,0.56,8.2,0.044,37.0,181.0,0.998,2.87,0.68,9.5,6,light
2972,10.7,0.22,0.56,8.2,0.044,37.0,181.0,0.998,2.87,0.68,9.5,6,light
2973,6.9,,0.34,2.7,0.032,24.0,121.0,0.9902, 3.14 ,0.38,12.4, 7 ,strong
2974,6.2,0.3,0.32,1.7,,30.0,130.0,0.9911,3.28,0.41,11.2,7,medium
2975,6.9,0.27,0.41,nan,0.047,6.0,134.0,0.9929,3.15,0.69,11.4,6, medium 
2976,6.9,0.28,0.41,1.7,0.05,10.0,136.0,0.993,nan,0.71,11.4,6,medium
2977,6.9,0.28,0.3,1.6,0.047,46.0,132.0,?,3.35,0.38,11.1,7,medium
2978,6.9,0.46,0.2,0.9,0.054,5.0,126.0,0.992,3.1,0.42,10.4,6,medium
2979,6.9,0.38,0.32,8.5,0.044,36.0,152.0,0.9932,3.38,0.35,12.0,7, strong 
2980,5.7,0.43,0.3,5.7,0.039,24.0,98.0,0.992,3.54,0.61,12.3,7,STRONG
2981,6.6,0.56,0.16,3.1,0.045,28.0,92.0,0.994,3.12,0.35,9.1,6,light
2982,7.1,0.36,0.56,1.3,0.046,25.0,102.0,0.9923,3.24,0.33,10.5,6,MEDIUM
2983,6.8,0.23,0.4,1.6,0.047,5.0,133.0,0.993, 3.23 ,0.7,11.4,6,medium
2984,,0.33,0.29,1.3,,26.0,138.0,0.9956,3.77,0.64,9.5,5,light
2985,5.6,,0.13,4.5,0.039,17.0,580.0,0.9907,3.42,3.6,34.25,7,strong
2986,,,0.33,2.8,,15.0,85.0,0.99,3.28,0.51,13.4, 6 ,
2987,7.3,0.18,0.29,1.2,0.044,12.0,143.0,?,3.2,0.48,11.3,7,medium
2988,8.1,0.19,0.4,0.9,0.037,73.0,180.0,0.9926,3.06,0.34,10.0,6,medium
2989,5.9,0.19,0.26,7.4,0.034,33.0,123.0,0.995,3.49,0.42,10.1,6,medium
2990,6.2,0.16,0.47,1.4,0.029,23.0,81.0,0.99, 3.26 ,0.42,12.2,6, strong 
2991,6.6,,0.33,2.8,0.034,15.0,85.0,0.99,3.28,0.51,13.4,6,strong
2992,5.7,0.135,0.3,4.6,0.042,19.0,101.0,0.9946,3.31,0.42,9.3,6,LIGHT
2993,5.6,,0.13,4.5,0.039,17.0,116.0,0.9907,3.42,0.9,13.7,7,strong
2994,6.9,0.19,0.33,1.6,,27.0,98.0,0.9898,3.09,0.46,12.3,7,STRONG
2995,7.3,0.18,0.29,1.2,0.044,12.0,143.0,0.9918,3.2,0.48,11.3,7,medium
2996,7.3,0.25,0.36,13.1,0.05,35.0,200.0,0.9986,3.04,0.46,8.9,7,light
2997,7.3,0.25,0.36,13.1,0.05,35.0,200.0,0.9986,3.04,0.46,8.9,7,light
2998,7.0,0.2,0.34,5.7,0.035,32.0,83.0,0.9928,3.19,0.46,11.5,6,medium
2999,7.3,0.25,0.36,nan,0.05,35.0,200.0,0.9986, 3.04 ,0.46,8.9,7,light
3000,6.3,0.67,0.48,12.6,0.052,57.0,222.0,0.9979,nan,0.52,9.3,6,light
3001,7.4,0.4,0.29,5.4,0.044,31.0,122.0,0.994, 3.3 ,0.5,11.1,8,MEDIUM
3002,7.1,0.26,0.31,2.2,0.044,29.0,128.0,0.9937,3.34,0.64,10.9,8,medium
3003,9.0,0.31,0.48,6.6,0.043,11.0,73.0,0.9938, 2.9 ,0.38,11.6,5,strong
3004,6.3,0.39,0.24,6.9,0.069,9.0,117.0,0.9942,3.15,0.35,10.2, 4 ,MEDIUM
3005,8.2,0.22,0.36,6.8,0.034,12.0,90.0,0.9944,3.01,0.38,10.5, 8 ,MEDIUM
3006,7.1,0.19,0.28,3.6,0.033,16.0,78.0,0.993,2.91,0.78,11.4,6,medium
3007,7.3,0.25,0.36,13.1,0.05,35.0,200.0,0.9986,3.04,0.46,8.9,7,light
3008,,0.2,0.34,1.2,0.04,29.0,118.0,0.9932,3.14,0.41,10.6,6,medium
3009,7.1,0.26,0.32,5.9,0.037,39.0,97.0,0.9934,3.31,0.4,11.6,6,strong
3010,7.0,0.2,0.34,5.7,0.035,32.0,83.0,0.9928,3.19,0.46,11.5,6,medium
3011,6.9,0.3,0.33,4.1,0.035,26.0,155.0,0.9925,3.25,0.79,12.3,8,strong
3012,8.1,0.29,0.49,,0.042,22.0,124.0,0.9944,3.14,0.41,10.8,6,MEDIUM
3013,5.8,0.17,0.3,1.4,0.037,55.0,130.0,0.9909,3.29,0.38,11.3,6,medium
3014,5.9,0.415,0.02,0.8,0.038,22.0,63.0,0.9932,3.36,0.36,9.3,5,LIGHT
3015,6.6,0.23,0.26,1.3,0.045,16.0,640.0,0.9934,3.36,2.4,25.0,6, strong 
3016,8.6,0.55,0.35,15.55,0.057,35.5,366.5,1.0001,3.04,0.63,11.0,3,medium
3017,6.9,0.35,0.74,1.0,0.044,18.0,132.0,0.992,3.13,0.55,10.2,5,MEDIUM
3018,7.6,0.14,0.74,1.6,0.04,27.0,103.0,0.9916,3.07,0.4,10.8,7,MEDIUM
3019,9.2,0.28,0.49,11.8,0.042,29.0,137.0,0.998,3.1,0.34,10.1,4,medium
3020,6.2,0.18,0.49,4.5,0.047,17.0,90.0,0.9919,3.27,0.37,11.6,6,strong
3021,5.3,0.165,0.24,1.1,0.051,25.0,105.0,0.9925,3.32,0.47,9.1,5,light
3022,9.8,0.25,0.74,10.0,,36.0,225.0,0.9977,3.06,0.43,10.0,4,medium
3023,8.1,0.29,0.49,7.1,0.042,22.0,620.0,0.9944,3.14,1.64,27.0,6,strong
3024,6.8,0.22,0.49,0.9,0.052,26.0,640.0,0.991,3.25,1.4,28.5,6,strong
3025,7.2,,0.49,nan,0.045,34.0,140.0,0.99,3.05,0.34,12.7,6,STRONG
3026,7.4,0.25,0.49,1.1,0.042,35.0,156.0,0.9917,3.13,0.55,11.3,5,medium
3027,8.2,0.18,0.49,1.1,0.033,28.0,81.0,0.9923,3.0,0.68,10.4,7,MEDIUM
3028,6.1,0.22,0.49,1.5,0.051,18.0,435.0,0.9928,3.3,1.84,24.0,5,STRONG
3029,7.0,0.39,0.24,1.0,0.048,8.0,119.0,0.9923,3.0,0.31,10.1,4,medium
3030,6.1,0.22,0.49,1.5,0.051,18.0,87.0,0.9928,3.3,0.46,9.6,5,medium
3031,,0.36,0.49,2.9,0.03,16.0,94.0,0.9902,3.1,0.49,12.1,7,strong
3032,7.1,0.29,0.49,1.2,0.031,32.0,99.0,0.9893,3.07,0.33,12.2,6,strong
3033,7.4,0.25,0.49,1.1,0.042,35.0,156.0,0.9917,3.13,0.55,11.3,5,medium
3034,6.9,0.23,0.24,14.2,0.053,19.0,94.0,0.9982,3.17,0.5,9.6,5,MEDIUM
3035,8.5,0.56,0.74,17.85,0.051,51.0,243.0,1.0005, 2.99 ,0.7,9.2,5, light 
3036,8.2,0.18,0.49,1.1,0.033,28.0,405.0,0.9923,3.0,2.72,26.0,7,strong
3037,,0.23,0.49,7.1,0.05,67.0,210.0,0.9951, nan ,0.34,9.5,5,LIGHT
3038,6.1,0.25,0.49,7.6,0.052,67.0,226.0,0.9956,3.16,0.47,8.9,5,light
3039,7.2,0.26,0.74,13.6,0.05,56.0,162.0,0.998, 3.03 ,0.44,8.8,5,light
3040,7.2,0.31,0.24,1.4,0.057,17.0,117.0,0.9928,3.16,0.35,10.5,5,medium
3041,8.0,0.25,0.49,1.2,0.061,27.0,117.0,nan,3.08,0.34,9.4,5,LIGHT
3042,7.0,0.18,0.49,,0.04,34.0,125.0,0.9914, nan ,0.4,12.2,6,STRONG
3043,7.8,0.43,0.49,13.0,0.033,37.0,158.0,0.9955, 3.14 ,0.35,11.3,6, medium 
3044,8.3,0.2,0.74,4.45,0.044,33.0,130.0,0.9924,3.25,0.42,12.2,6,strong
3045,6.3,0.27,0.49,1.2,,35.0,92.0,0.9911,3.38,0.42,12.2,6,
3046,7.4,0.16,0.49,1.2,0.055,18.0,150.0,0.9917,3.23,0.47,11.2,6,MEDIUM
3047,7.4,0.16,0.49,1.2,0.055,18.0,150.0,?,3.23,0.47,11.2,6,medium
3048,6.9,0.19,0.49,6.6,0.036,49.0,172.0,0.9932,3.2,0.27,11.5,6, medium 
3049,7.8,0.43,0.49,13.0,0.033,37.0,158.0,0.9955,3.14,0.35,11.3,6,medium
3050,7.2,0.4,0.49,1.1,0.048,11.0,138.0,0.9929,3.01,0.42,9.3, 5 ,LIGHT
3051,7.8,0.43,0.49,13.0,0.033,37.0,158.0,0.9955,3.14,0.35,11.3,6,medium
3052,7.6,0.52,0.49,14.0,0.034,37.0,156.0,0.9958,3.14,0.38,11.8,7,STRONG
3053,8.3,0.21,0.49,19.8,0.054,50.0,231.0,1.0012,2.99,0.54,9.2,5,light
3054,6.9,0.34,0.74,11.2,0.069,44.0,150.0,0.9968,3.0,0.81,9.2,5,LIGHT
3055,6.3,0.27,0.49,1.2,0.063,35.0,92.0,0.9911,3.38,0.42,12.2, 6 ,strong
3056,8.3,0.2,0.74,4.45,0.044,33.0,130.0,0.9924,nan,0.42,12.2,6,strong
3057,7.1,0.22,0.74,2.7,0.044,42.0,144.0,0.991,3.31,0.41,12.2,6,strong
3058,7.9,0.11,0.49,nan,0.048,27.0,133.0,0.9946,3.24,0.42,10.6,6,medium
3059,8.5,,0.74,3.6,0.05,29.0,128.0,0.9928,3.28,0.4,12.4,6,strong
3060,6.4,0.145,0.49,5.4,0.048,54.0,164.0,0.9946, 3.56 ,0.44,10.8,6,medium
3061,7.4,0.16,0.49,1.2,0.055,18.0,150.0,0.9917,3.23,0.47,11.2,6,medium
3062,8.3,0.19,0.49,1.2,0.051,11.0,137.0,0.9918,3.06,0.46,11.0,6,medium
3063,8.0,,0.49,9.1,0.031,46.0,151.0,0.9926,nan,0.27,12.7,8,strong
3064,7.0,0.2,0.74,0.8,0.044,19.0,163.0,993.1,3.46,0.53,10.2,5, medium 
3065,6.9,0.19,0.49,nan,0.036,49.0,172.0,0.9932,3.2,0.27,11.5,6,medium
3066,7.1,0.25,0.49,3.0,0.03,30.0,96.0,0.9903,3.13,0.39,12.3,7,strong
3067,6.5,0.24,0.24,1.6,0.046,15.0,60.0,?,3.19,0.39,9.8,5,medium
3068,7.2,0.4,0.49,1.1,0.048,11.0,138.0,0.9929,3.01,0.42,9.3,5,light
3069,7.6,0.52,0.49,14.0,0.034,37.0,156.0,0.9958, 3.14 ,0.38,11.8,7,strong
3070,,0.43,0.49,13.0,0.033,37.0,158.0,0.9955,3.14,0.35,11.3, 6 ,medium
3071,7.8,0.21,0.49,nan,0.052,6.0,48.0,0.9911,3.15,0.28,11.4,5,medium
3072,7.0,0.2,0.49,5.9,0.038,39.0,128.0,993.8000000000001,3.21,0.48,10.8,6,MEDIUM
3073,6.9,0.25,0.24,3.6,0.057,13.0,85.0,0.9942,2.99,0.48,9.5,4,LIGHT
3074,7.2,0.08,0.49,1.3,0.05,18.0,148.0,0.9945,nan,0.44,10.2,6,MEDIUM
3075,7.1,0.85,0.49,8.7,,40.0,184.0,0.9962,3.22,0.36,10.7,5,medium
3076,7.6,0.51,0.24,1.2,,10.0,104.0,0.992, 3.05 ,0.29,10.8,6,medium
3077,7.9,0.22,0.24,nan,0.044,39.0,159.0,0.9927,2.99,0.28,11.5,6,medium
3078,7.7,0.16,0.49,2.0,0.056,20.0,124.0,0.9948,3.32,0.49,10.7,6,medium
3079,7.2,0.08,0.49,1.3,0.05,18.0,148.0,0.9945, 3.46 ,0.44,10.2,6,medium
3080,6.6,0.25,0.24,1.7,0.048,26.0,124.0,0.9942, 3.37 ,0.6,10.1,6,medium
3081,6.7,0.16,0.49,2.4,0.046,57.0,187.0,0.9952,3.62,0.81,10.4,6,medium
3082,6.9,0.25,0.24,,,13.0,85.0,0.9942,2.99,0.48,9.5,4,light
3083,7.5,0.32,0.24,4.6,0.053,8.0,134.0,0.9958,3.14,0.5,9.1, 3 ,light
3084,7.4,0.28,0.49,nan,0.034,20.0,126.0,0.9918,2.98,0.39,10.6,6, medium 
3085,6.2,0.15,0.49,0.9,,17.0,51.0,0.9932, 3.3 ,0.7,9.4,6,light
3086,6.7,0.25,0.74,19.4,0.054,44.0,169.0,1.0004,3.51,0.45,9.8,6,medium
3087,6.5,0.26,0.74,13.3,0.044,68.0,224.0,0.9972,nan,0.54,9.5,6,light
3088,7.9,0.16,0.74,17.85,0.037,52.0,187.0,999.8000000000001,2.99,0.41,9.3,5,light
3089,5.6,0.185,0.49,1.1,0.03,28.0,117.0,0.9918,nan,0.45,10.3,6,medium
3090,7.5,0.2,0.49,1.3,0.031,8.0,97.0,0.9918, 3.06 ,0.62,11.1,5,MEDIUM
3091,8.0,0.3,0.49,9.4,0.046,47.0,188.0,0.9964,3.14,0.48,10.0,5,MEDIUM
3092,8.0,0.34,0.49,9.0,0.033,39.0,180.0,0.9936,3.13,0.38,12.3,8,strong
3093,7.7,,0.49,8.65,,42.0,186.0,0.9931,nan,0.38,12.4,8,strong
3094,7.6,0.29,0.49,9.6,0.03,45.0,197.0,0.9938,3.13,0.38,12.3,7,strong
3095,,0.62,0.24,1.1,0.039,6.0,62.0,0.9934,3.41,0.32,10.4,5,medium
3096,6.8,0.27,0.49,1.2,0.044,35.0,126.0,0.99,3.13,0.48,12.1,7,STRONG
3097,7.7,,0.49,1.8,0.041,23.0,86.0,0.9914,3.16,0.42,12.5,6,
3098,6.7,,0.24,2.1,0.043,14.0,155.0,0.9904,3.22,0.6,13.0,6, strong 
3099,7.4,0.19,0.49,9.3,,26.0,132.0,0.994,2.99,0.32,11.0,7,MEDIUM
3100,8.3,0.2,0.49,1.7,0.04,34.0,169.0,0.9938,3.05,0.37,10.1,5,medium
3101,6.6,0.3,0.24,1.2,0.034,17.0,121.0,0.9933,nan,0.36,9.2, 5 ,
3102,6.8,,0.24,4.6,0.039,24.0,124.0,0.9909,3.27,0.34,12.6,7,strong
3103,7.0,0.17,0.74,12.8,0.045,24.0,126.0,994.1999999999999,3.26,0.38,12.2,8,STRONG
3104,9.2,0.18,0.49,1.5,0.041,39.0,130.0,0.9945,3.04,0.49,9.8,7,
3105,8.1,0.2,0.49,,0.051,51.0,205.0,0.9954,nan,0.52,11.0,6,medium
3106,7.8,0.26,0.74,7.5,0.044,59.0,160.0,0.996,3.22,0.64,10.0,6, medium 
3107,6.8,0.21,0.49,14.5,0.06,50.0,170.0,0.9991,3.55,0.44,9.8,6,medium
3108,7.9,0.2,0.49,1.6,0.053,15.0,144.0,0.993, 3.16 ,0.47,10.5,5,medium
3109,8.0,0.18,0.49,1.8,0.061,10.0,145.0,0.9942,3.23,0.48,10.0,5,medium
3110,8.8,0.23,0.74,3.2,0.042,15.0,126.0,0.9934,3.02,0.51,11.2,6,MEDIUM
3111,7.3,0.22,0.49,9.4,0.034,29.0,134.0,0.9939,2.99,0.32,11.0,7,medium
3112,7.3,0.22,0.49,9.9,0.031,48.0,161.0,0.9937,3.01,0.28,11.2,6,
3113,7.4,0.19,0.49,9.3,0.03,26.0,132.0,0.994, 2.99 ,0.32,11.0,7,MEDIUM
